BIN
1000000
1000005
1000006
1000007
1000016
1000018
1000020
1000021
1000023
1000024
1000025
1000027
1000029
1000038
1000043
1000044
1000045
1000047
1000053
1000055
1000057
1000058
1000059
1000060
1000061
1000301
1000436
1000544
1000792
1000793
1000794
1000798
1000802
1000803
1000804
1000807
1000808
1000809
1000810
1000811
1000812
1000813
1000814
1000815
1000816
1000817
1000818
1000819
1000820
1000821
1000823
1000824
1000825
1000826
1000827
1000828
1000829
1000830
1000831
1000832
1000833
1000835
1000842
1000849
1000850
1000851
1000854
1000855
1000859
1000863
1000864
1000865
1000867
1000868
1000871
1000872
1000873
1000874
1000875
1000876
1000877
1000878
1000880
1000881
1000884
1001003
1001004
1001005
1001006
1001007
1001009
1001011
1001013
1001014
1001015
1001017
1001018
1001019
1001021
1001022
1001023
1001024
1001025
1001026
1001027
1001029
1001030
1001031
1001033
1001034
1001035
1001036
1001037
1001040
1001041
1001050
1001051
1001052
1001060
1001061
1001063
1001064
1001068
1001069
1001071
1001084
1001086
1001087
1001088
1001091
1001096
1001097
1001098
1001099
1001100
1001102
1001103
1001106
1001109
1001111
1001112
1001113
1001115
1001116
1001126
1001127
1001134
1001135
1001136
1001137
1001139
1001142
1001162
1001163
1001167
1001176
1001185
1001186
1001187
1001189
1001192
1001193
1001195
1001196
1001199
1001205
1001215
1001216
1001217
1001218
1001227
1001228
1001230
1001232
1001235
1001237
1001241
1001242
1001244
1001245
1001249
1001258
1001263
1001264
1001266
1001268
1001269
1001272
1001280
1001281
1001288
1001289
1001290
1001292
1001352
1001354
1001355
1001356
1001357
1001359
1001362
1001363
1001364
1001382
1001385
1001388
1001389
1001394
1001399
1001407
1001408
1001409
1001410
1001412
1001415
1001416
1001417
1001420
1001421
1001443
1001444
1001446
1001451
1001453
1001463
1001473
1001480
1001496
1001497
1001499
1001500
1001505
1001531
1001543
1001544
1001553
1001554
1001556
1001562
1001572
1001584
1001589
1001602
1001621
1001622
1001629
1001635
1001640
1001645
1001648
1001649
1001650
1001652
1001659
1001662
1001670
1001672
1001673
1001682
1001726
1001789
1001790
1001791
1001792
1001824
1001830
1001831
1001833
1001835
1001838
1001839
1001842
1001862
1001865
1001866
1001870
1001871
1001877
1001883
1001884
1001895
1001905
1001910
1001924
1001930
1001932
1001935
1001937
1001939
1001940
1001957
1001971
1001974
1001994
1001995
1001998
1002002
1002004
1002012
1002017
1002018
1002029
1002037
1002114
1002121
1002124
1002125
1002127
1002128
1002129
1002130
1002131
1002132
1002143
1002144
1002145
1002147
1002154
1002160
1002161
1002162
1002166
1002167
1002169
1002171
1002172
1002192
1002198
1002213
1002221
1002303
1002307
1002310
1002323
1002329
1002340
1002341
1002348
1002353
1002356
1002357
1002358
1002364
1002365
1002366
1002372
1002382
1002415
